processing_time,total_target_area,total_target_area_length,vert_count,test_type,output_prefix
0.000246048,146.704,121.026,12,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z100
0.000119925,146.704,121.026,12,naive,1to3-splitter--rotated_outline_mesh0_z100
0.0312421,938.035,664.214,407,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z10100
0.00691509,938.035,664.214,407,naive,1to3-splitter--rotated_outline_mesh0_z10100
0.03793,1009.82,471.38,431,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z10300
0.0354459,1009.82,471.38,431,naive,1to3-splitter--rotated_outline_mesh0_z10300
0.033885,984.584,474.042,394,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z10500
0.0344751,984.584,474.042,394,naive,1to3-splitter--rotated_outline_mesh0_z10500
0.05321,955.301,477.331,418,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z10700
0.0249031,955.301,477.331,418,naive,1to3-splitter--rotated_outline_mesh0_z10700
0.0447152,920.646,481.924,421,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z10900
0.0247059,920.646,481.924,421,naive,1to3-splitter--rotated_outline_mesh0_z10900
0.000611067,480.696,132.892,25,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z1100
0.000413895,480.696,132.892,25,naive,1to3-splitter--rotated_outline_mesh0_z1100
0.0537031,878.664,488.477,458,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z11100
0.0265939,878.664,488.477,458,naive,1to3-splitter--rotated_outline_mesh0_z11100
0.03248,825.294,501.728,439,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z11300
0.0174439,825.294,501.728,439,naive,1to3-splitter--rotated_outline_mesh0_z11300
0.04667,747.575,524.949,456,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z11500
0.0214419,747.575,524.949,456,naive,1to3-splitter--rotated_outline_mesh0_z11500
0.041157,632.498,511.766,355,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z11700
0.00568891,632.498,511.766,355,naive,1to3-splitter--rotated_outline_mesh0_z11700
0.0299928,584.113,410.037,302,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z11900
0.00449896,584.113,410.037,302,naive,1to3-splitter--rotated_outline_mesh0_z11900
0.00827503,561.025,369.628,276,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z12100
0.00618792,561.025,369.628,276,naive,1to3-splitter--rotated_outline_mesh0_z12100
0.0217919,552.578,319.82,200,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z12300
0.00388193,552.578,319.82,200,naive,1to3-splitter--rotated_outline_mesh0_z12300
0.00695109,568.004,256.911,87,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z12500
0.00662303,568.004,256.911,87,naive,1to3-splitter--rotated_outline_mesh0_z12500
0.00307894,599.177,254.202,76,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z12700
0.00201392,599.177,254.202,76,naive,1to3-splitter--rotated_outline_mesh0_z12700
0.014116,653.999,250.599,59,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z12900
0.00209498,653.999,250.599,59,naive,1to3-splitter--rotated_outline_mesh0_z12900
0.00118804,520.093,134.26,26,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z1300
0.000323057,520.093,134.26,26,naive,1to3-splitter--rotated_outline_mesh0_z1300
0.00163698,737.15,141.943,30,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z13100
0.000738144,737.15,141.943,30,naive,1to3-splitter--rotated_outline_mesh0_z13100
0.000967979,715.985,141.22,17,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z13300
0.000333071,715.985,141.22,17,naive,1to3-splitter--rotated_outline_mesh0_z13300
0.000555038,693.774,140.44,17,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z13500
0.000306845,693.774,140.44,17,naive,1to3-splitter--rotated_outline_mesh0_z13500
0.000583887,670.312,139.622,20,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z13700
0.000322104,670.312,139.622,20,naive,1to3-splitter--rotated_outline_mesh0_z13700
0.000775099,644.842,138.724,20,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z13900
0.000339985,644.842,138.724,20,naive,1to3-splitter--rotated_outline_mesh0_z13900
0.00165009,617.196,137.752,22,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z14100
0.000329018,617.196,137.752,22,naive,1to3-splitter--rotated_outline_mesh0_z14100
0.000624895,587.566,136.706,22,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z14300
0.000362873,587.566,136.706,22,naive,1to3-splitter--rotated_outline_mesh0_z14300
0.000540018,555.345,135.564,20,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z14500
0.000854015,555.345,135.564,20,naive,1to3-splitter--rotated_outline_mesh0_z14500
0.000899076,519.94,134.276,24,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z14700
0.00105405,519.94,134.276,24,naive,1to3-splitter--rotated_outline_mesh0_z14700
0.000959158,480.603,132.89,25,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z14900
0.000408888,480.603,132.89,25,naive,1to3-splitter--rotated_outline_mesh0_z14900
0.000820875,555.528,135.564,22,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z1500
0.00110698,555.528,135.564,22,naive,1to3-splitter--rotated_outline_mesh0_z1500
0.000874996,435.934,131.275,25,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z15100
0.000393152,435.934,131.275,25,naive,1to3-splitter--rotated_outline_mesh0_z15100
0.000904799,385.212,129.418,26,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z15300
0.00037694,385.212,129.418,26,naive,1to3-splitter--rotated_outline_mesh0_z15300
0.000849009,325.872,127.334,22,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z15500
0.000496149,325.872,127.334,22,naive,1to3-splitter--rotated_outline_mesh0_z15500
0.000536919,252.412,124.746,16,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z15700
0.000216007,252.412,124.746,16,naive,1to3-splitter--rotated_outline_mesh0_z15700
0.000302076,146.59,121.044,10,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z15900
0.000103951,146.59,121.044,10,naive,1to3-splitter--rotated_outline_mesh0_z15900
0.00189805,587.738,136.704,22,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z1700
0.000541925,587.738,136.704,22,naive,1to3-splitter--rotated_outline_mesh0_z1700
0.00173998,617.37,137.752,20,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z1900
0.000380039,617.37,137.752,20,naive,1to3-splitter--rotated_outline_mesh0_z1900
0.000742912,644.965,138.726,20,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z2100
0.000360012,644.965,138.726,20,naive,1to3-splitter--rotated_outline_mesh0_z2100
0.00211406,670.488,139.62,20,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z2300
0.000631094,670.488,139.62,20,naive,1to3-splitter--rotated_outline_mesh0_z2300
0.000695944,693.888,140.446,18,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z2500
0.000217199,693.888,140.446,18,naive,1to3-splitter--rotated_outline_mesh0_z2500
0.000644207,716.073,141.222,16,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z2700
0.000613928,716.073,141.222,16,naive,1to3-splitter--rotated_outline_mesh0_z2700
0.00108886,737.322,141.947,31,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z2900
0.00051403,737.322,141.947,31,naive,1to3-splitter--rotated_outline_mesh0_z2900
0.000494957,252.509,124.75,17,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z300
0.000200033,252.509,124.75,17,naive,1to3-splitter--rotated_outline_mesh0_z300
0.00475597,654.189,250.612,55,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z3100
0.00204015,654.189,250.612,55,naive,1to3-splitter--rotated_outline_mesh0_z3100
0.00296712,599.177,254.205,73,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z3300
0.00267601,599.177,254.205,73,naive,1to3-splitter--rotated_outline_mesh0_z3300
0.00492907,568.024,256.914,94,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z3500
0.00423384,568.024,256.914,94,naive,1to3-splitter--rotated_outline_mesh0_z3500
0.0133309,552.663,319.852,181,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z3700
0.00443316,552.663,319.852,181,naive,1to3-splitter--rotated_outline_mesh0_z3700
0.00814295,561.241,370.862,258,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z3900
0.00704193,561.241,370.862,258,naive,1to3-splitter--rotated_outline_mesh0_z3900
0.0270431,584.265,410.096,293,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z4100
0.00595117,584.265,410.096,293,naive,1to3-splitter--rotated_outline_mesh0_z4100
0.0353551,632.819,511.844,358,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z4300
0.0123019,632.819,511.844,358,naive,1to3-splitter--rotated_outline_mesh0_z4300
0.0301428,747.708,525.039,460,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z4500
0.0192282,747.708,525.039,460,naive,1to3-splitter--rotated_outline_mesh0_z4500
0.048038,825.048,501.794,447,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z4700
0.0101068,825.048,501.794,447,naive,1to3-splitter--rotated_outline_mesh0_z4700
0.0372841,878.66,488.495,466,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z4900
0.0155501,878.66,488.495,466,naive,1to3-splitter--rotated_outline_mesh0_z4900
0.000510931,326.024,127.338,21,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z500
0.00431395,326.024,127.338,21,naive,1to3-splitter--rotated_outline_mesh0_z500
0.0498919,920.651,481.971,432,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z5100
0.031611,920.651,481.971,432,naive,1to3-splitter--rotated_outline_mesh0_z5100
